CPE,hora,PotAtiva,PotReactIndut,PotReactCapac,date,hour,minute,hour_float,dayofweek,is_weekend,is_night,is_day,time_band
PT0002000068856781NM,2022-12-31 00:15:00,32.0,0.0,0.0,2022-12-31,0,15,0.25,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 00:15:00,4.0,0.0,1.0,2022-12-31,0,15,0.25,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 00:15:00,12.0,3.0,0.0,2022-12-31,0,15,0.25,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 00:30:00,13.0,1.0,0.0,2022-12-31,0,30,0.5,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 00:30:00,32.0,2.0,0.0,2022-12-31,0,30,0.5,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 00:30:00,4.0,0.0,0.0,2022-12-31,0,30,0.5,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 00:45:00,31.0,1.0,0.0,2022-12-31,0,45,0.75,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 00:45:00,15.0,1.0,0.0,2022-12-31,0,45,0.75,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 00:45:00,5.0,1.0,0.0,2022-12-31,0,45,0.75,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 01:00:00,13.0,1.0,0.0,2022-12-31,1,0,1.0,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 01:00:00,4.0,1.0,0.0,2022-12-31,1,0,1.0,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 01:00:00,32.0,0.0,0.0,2022-12-31,1,0,1.0,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 01:15:00,11.0,0.0,0.0,2022-12-31,1,15,1.25,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 01:15:00,32.0,2.0,0.0,2022-12-31,1,15,1.25,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 01:15:00,5.0,1.0,0.0,2022-12-31,1,15,1.25,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 01:30:00,10.0,1.0,0.0,2022-12-31,1,30,1.5,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 01:30:00,32.0,0.0,0.0,2022-12-31,1,30,1.5,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 01:30:00,5.0,0.0,0.0,2022-12-31,1,30,1.5,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 01:45:00,32.0,1.0,1.0,2022-12-31,1,45,1.75,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 01:45:00,5.0,1.0,0.0,2022-12-31,1,45,1.75,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 01:45:00,9.0,2.0,0.0,2022-12-31,1,45,1.75,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 02:00:00,8.0,1.0,0.0,2022-12-31,2,0,2.0,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 02:00:00,5.0,2.0,0.0,2022-12-31,2,0,2.0,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 02:00:00,32.0,2.0,0.0,2022-12-31,2,0,2.0,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 02:15:00,31.0,0.0,0.0,2022-12-31,2,15,2.25,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 02:15:00,4.0,0.0,0.0,2022-12-31,2,15,2.25,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 02:15:00,9.0,0.0,0.0,2022-12-31,2,15,2.25,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 02:30:00,32.0,2.0,0.0,2022-12-31,2,30,2.5,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 02:30:00,4.0,0.0,0.0,2022-12-31,2,30,2.5,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 02:30:00,7.0,2.0,0.0,2022-12-31,2,30,2.5,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 02:45:00,5.0,0.0,0.0,2022-12-31,2,45,2.75,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 02:45:00,7.0,1.0,0.0,2022-12-31,2,45,2.75,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 02:45:00,32.0,0.0,0.0,2022-12-31,2,45,2.75,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 03:00:00,31.0,1.0,0.0,2022-12-31,3,0,3.0,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 03:00:00,5.0,2.0,0.0,2022-12-31,3,0,3.0,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 03:00:00,8.0,1.0,0.0,2022-12-31,3,0,3.0,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 03:15:00,4.0,0.0,0.0,2022-12-31,3,15,3.25,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 03:15:00,8.0,1.0,0.0,2022-12-31,3,15,3.25,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 03:15:00,32.0,2.0,0.0,2022-12-31,3,15,3.25,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 03:30:00,4.0,0.0,0.0,2022-12-31,3,30,3.5,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 03:30:00,8.0,3.0,0.0,2022-12-31,3,30,3.5,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 03:30:00,32.0,0.0,0.0,2022-12-31,3,30,3.5,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 03:45:00,5.0,0.0,0.0,2022-12-31,3,45,3.75,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 03:45:00,9.0,1.0,0.0,2022-12-31,3,45,3.75,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 03:45:00,31.0,1.0,0.0,2022-12-31,3,45,3.75,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 04:00:00,4.0,0.0,0.0,2022-12-31,4,0,4.0,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 04:00:00,8.0,1.0,0.0,2022-12-31,4,0,4.0,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 04:00:00,32.0,1.0,1.0,2022-12-31,4,0,4.0,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 04:15:00,32.0,1.0,0.0,2022-12-31,4,15,4.25,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 04:15:00,4.0,1.0,0.0,2022-12-31,4,15,4.25,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 04:15:00,9.0,2.0,0.0,2022-12-31,4,15,4.25,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 04:30:00,31.0,1.0,0.0,2022-12-31,4,30,4.5,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 04:30:00,9.0,1.0,0.0,2022-12-31,4,30,4.5,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 04:30:00,5.0,1.0,0.0,2022-12-31,4,30,4.5,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 04:45:00,4.0,1.0,0.0,2022-12-31,4,45,4.75,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 04:45:00,31.0,0.0,0.0,2022-12-31,4,45,4.75,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 04:45:00,8.0,2.0,0.0,2022-12-31,4,45,4.75,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 05:00:00,5.0,1.0,0.0,2022-12-31,5,0,5.0,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 05:00:00,32.0,2.0,0.0,2022-12-31,5,0,5.0,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 05:00:00,9.0,2.0,0.0,2022-12-31,5,0,5.0,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 05:15:00,31.0,0.0,0.0,2022-12-31,5,15,5.25,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 05:15:00,9.0,1.0,0.0,2022-12-31,5,15,5.25,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 05:15:00,5.0,2.0,0.0,2022-12-31,5,15,5.25,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 05:30:00,33.0,2.0,0.0,2022-12-31,5,30,5.5,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 05:30:00,8.0,2.0,0.0,2022-12-31,5,30,5.5,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 05:30:00,4.0,0.0,0.0,2022-12-31,5,30,5.5,5,1,1,0,dawn
PT0002000081997398TD,2022-12-31 05:45:00,9.0,1.0,0.0,2022-12-31,5,45,5.75,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 05:45:00,31.0,1.0,0.0,2022-12-31,5,45,5.75,5,1,1,0,dawn
PT0002000068856906VS,2022-12-31 05:45:00,5.0,1.0,0.0,2022-12-31,5,45,5.75,5,1,1,0,dawn
PT0002000068856781NM,2022-12-31 06:00:00,31.0,0.0,1.0,2022-12-31,6,0,6.0,5,1,1,0,morning
PT0002000068856906VS,2022-12-31 06:00:00,4.0,1.0,0.0,2022-12-31,6,0,6.0,5,1,1,0,morning
PT0002000081997398TD,2022-12-31 06:00:00,8.0,2.0,0.0,2022-12-31,6,0,6.0,5,1,1,0,morning
PT0002000068856906VS,2022-12-31 06:15:00,4.0,0.0,1.0,2022-12-31,6,15,6.25,5,1,1,0,morning
PT0002000068856781NM,2022-12-31 06:15:00,32.0,1.0,0.0,2022-12-31,6,15,6.25,5,1,1,0,morning
PT0002000081997398TD,2022-12-31 06:15:00,8.0,0.0,0.0,2022-12-31,6,15,6.25,5,1,1,0,morning
PT0002000081997398TD,2022-12-31 06:30:00,7.0,1.0,0.0,2022-12-31,6,30,6.5,5,1,1,0,morning
PT0002000068856906VS,2022-12-31 06:30:00,5.0,2.0,0.0,2022-12-31,6,30,6.5,5,1,1,0,morning
PT0002000068856781NM,2022-12-31 06:30:00,32.0,1.0,0.0,2022-12-31,6,30,6.5,5,1,1,0,morning
PT0002000081997398TD,2022-12-31 06:45:00,8.0,0.0,0.0,2022-12-31,6,45,6.75,5,1,1,0,morning
PT0002000068856906VS,2022-12-31 06:45:00,4.0,0.0,1.0,2022-12-31,6,45,6.75,5,1,1,0,morning
PT0002000068856781NM,2022-12-31 06:45:00,31.0,1.0,0.0,2022-12-31,6,45,6.75,5,1,1,0,morning
PT0002000068856906VS,2022-12-31 07:00:00,4.0,0.0,0.0,2022-12-31,7,0,7.0,5,1,0,1,morning
PT0002000068856781NM,2022-12-31 07:00:00,32.0,1.0,0.0,2022-12-31,7,0,7.0,5,1,0,1,morning
PT0002000081997398TD,2022-12-31 07:00:00,9.0,1.0,0.0,2022-12-31,7,0,7.0,5,1,0,1,morning
PT0002000068856906VS,2022-12-31 07:15:00,4.0,0.0,0.0,2022-12-31,7,15,7.25,5,1,0,1,morning
PT0002000068856781NM,2022-12-31 07:15:00,31.0,1.0,0.0,2022-12-31,7,15,7.25,5,1,0,1,morning
PT0002000081997398TD,2022-12-31 07:15:00,11.0,1.0,0.0,2022-12-31,7,15,7.25,5,1,0,1,morning
